from,to,knowledge_begin_date,knowledge_end_date,operation_code
10008656:5,52017374:5,2013-05-05 06:08:40.917,,N
10008727:5,10008727:5,2013-05-05 06:08:40.917,,N
10008757:5,10008757:5,2013-05-05 06:08:40.917,,N
10008762:5,10008762:5,2013-05-05 06:08:40.917,,N
10008774:5,10008774:5,2013-05-05 06:08:40.917,,N
10008791:5,10008791:5,2013-05-05 06:08:40.917,,N
10008823:5,10008823:5,2013-05-05 06:08:40.917,,N
10008856:5,10008856:5,2013-05-05 06:08:40.917,,N
10008877:5,10008877:5,2013-05-05 06:08:40.917,,N
10008881:5,52017412:5,2013-05-05 06:08:40.917,,N
10008934:5,10008934:5,2013-05-05 06:08:40.917,,N
10009025:5,10009025:5,2013-05-05 06:08:40.917,,N
10009027:5,10009027:5,2013-05-05 06:08:40.917,,N
10009096:5,10009096:5,2013-05-05 06:08:40.917,,N
10009355:5,10009355:5,2013-05-05 06:08:40.917,,N
10009365:5,10009365:5,2013-05-05 06:08:40.917,2021-07-03 03:43:17.157,N
10009365:5,10070329:5,2021-07-03 03:43:17.157,,A
10009582:5,10009582:5,2013-05-05 06:08:40.917,,N
10009681:5,10009681:5,2013-05-05 06:08:40.917,,N
10009750:5,10009750:5,2013-05-05 06:08:40.917,,N
10009791:5,10009791:5,2013-05-05 06:08:40.917,,N
10009935:5,10009935:5,2013-05-05 06:08:40.917,,N
10009954:5,10009954:5,2013-05-05 06:08:40.917,,N
10010018:5,10010018:5,2013-05-05 06:08:40.917,,N
10010052:5,10010052:5,2013-05-05 06:08:40.917,,N
10010063:5,52017318:5,2013-05-05 06:08:40.917,,N
10010065:5,10010065:5,2013-05-05 06:08:40.917,,N
10010103:5,10010103:5,2013-05-05 06:08:40.917,,N
10010154:5,10010154:5,2013-05-05 06:08:40.917,,N
10010215:5,10010215:5,2013-05-05 06:08:40.917,,N
10010321:5,10010321:5,2013-05-05 06:08:40.917,,N
10010425:5,10010425:5,2013-05-05 06:08:40.917,,N
10010532:5,10010532:5,2013-05-05 06:08:40.917,,N
10010607:5,10010607:5,2013-05-05 06:08:40.917,,N
10010631:5,10010631:5,2013-05-05 06:08:40.917,,N
10010684:5,10010684:5,2013-05-05 06:08:40.917,,N
10010694:5,10010694:5,2013-05-05 06:08:40.917,,N
10010777:5,10010777:5,2013-05-05 06:08:40.917,,N
10010920:5,10010920:5,2013-05-05 06:08:40.917,,N
10010925:5,10010925:5,2013-05-05 06:08:40.917,,N
10010978:5,10010978:5,2013-05-05 06:08:40.917,,N
10011233:5,10011233:5,2013-05-05 06:08:40.917,,N
10011299:5,10011299:5,2013-05-05 06:08:40.917,,N
10011332:5,10011332:5,2013-05-05 06:08:40.917,,N
10011359:5,10011359:5,2013-05-05 06:08:40.917,,N
10011363:5,10011363:5,2013-05-05 06:08:40.917,,N
10011407:5,10011407:5,2014-01-29 08:00:47.250,,N
10011467:5,10011467:5,2013-05-05 06:08:40.917,,N
10011560:5,10011560:5,2013-05-05 06:08:40.917,,N
10011590:5,10011590:5,2013-05-05 06:08:40.917,,N
10011632:5,10011632:5,2013-05-05 06:08:40.917,,N
10011633:5,10011633:5,2013-05-05 06:08:40.917,,N
10011796:5,10011796:5,2013-05-05 06:08:40.917,,N
10011820:5,10011820:5,2013-05-05 06:08:40.917,,N
10011880:5,10011880:5,2013-05-05 06:08:40.917,,N
10011991:5,10011991:5,2013-05-05 06:08:40.917,,N
10012123:5,10012123:5,2013-05-05 06:08:40.917,2020-01-28 03:37:29.393,N
10012123:5,10012123:5,2020-01-28 03:37:29.393,,A
10012143:5,10012143:5,2013-05-05 06:08:40.917,,N
10012200:5,52015938:5,2013-05-05 06:08:40.917,,N
10012244:5,10012244:5,2013-05-05 06:08:40.917,,N
10012283:5,10012283:5,2013-05-05 06:08:40.917,,N
10012287:5,10012287:5,2013-05-05 06:08:40.917,,N
10012291:5,10012291:5,2013-05-05 06:08:40.917,,N
10012381:5,10012381:5,2013-05-05 06:08:40.917,,N
10012384:5,52017380:5,2013-05-05 06:08:40.917,,N
10012438:5,10012438:5,2013-05-05 06:08:40.917,,N
10012463:5,10012463:5,2013-05-05 06:08:40.917,,N
10012593:5,10012593:5,2013-05-05 06:08:40.917,,N
10012599:5,52015944:5,2013-05-05 06:08:40.917,,N
10012661:5,10012661:5,2013-05-05 06:08:40.917,,N
10012711:5,10012711:5,2019-10-25 08:30:45.117,,N
10012739:5,10012739:5,2013-05-05 06:08:40.917,2017-07-01 10:17:56.083,N
10012739:5,10012739:5,2017-07-04 02:13:45.337,,A
10012739:5,10012739:5,2017-07-01 10:17:56.083,2017-07-04 02:13:45.337,A
10012786:5,10012786:5,2013-05-05 06:08:40.917,,N
10012787:5,10012787:5,2013-05-05 06:08:40.917,,N
10012792:5,10012792:5,2013-05-05 06:08:40.917,,N
10012793:5,10012793:5,2013-05-05 06:08:40.917,,N
10012815:5,10012815:5,2013-05-05 06:08:40.917,,N
10012975:5,10012975:5,2013-05-05 06:08:40.917,,N
10013072:5,52017317:5,2013-05-05 06:08:40.917,,N
10013192:5,10013192:5,2013-05-05 06:08:40.917,,N
10013246:5,10013246:5,2013-05-05 06:08:40.917,,N
10013300:5,10013300:5,2013-05-05 06:08:40.917,,N
10013304:5,10105474:5,2013-05-05 06:08:40.917,,N
10013311:5,10013311:5,2013-05-05 06:08:40.917,,N
10013371:5,10013371:5,2013-05-05 06:08:40.917,,N
10013504:5,10013504:5,2015-08-28 07:34:25.153,,N
10013734:5,10013734:5,2013-05-05 06:08:40.917,,N
10013746:5,10013746:5,2013-05-05 06:08:40.917,,N
10013755:5,10013755:5,2013-05-05 06:08:40.917,,N
10013788:5,10013788:5,2013-05-05 06:08:40.917,,N
10013832:5,10013832:5,2016-05-09 06:56:50.580,,N
10013892:5,10013892:5,2013-05-05 06:08:40.917,,N
10023432:5,10023432:5,2013-05-05 06:08:40.917,,N
10026068:5,10026068:5,2013-05-05 06:08:40.917,,N
10026095:5,10026095:5,2013-05-05 06:08:40.917,,N
10026968:5,10026968:5,2017-11-29 08:23:21.633,,N
10038334:5,10038334:5,2013-05-05 06:08:40.917,,N
10038387:5,10038387:5,2013-05-05 06:08:40.917,,N
10038690:5,10038690:5,2013-05-05 06:08:40.917,,N
10038728:5,10038728:5,2013-05-05 06:08:40.917,,N
10038731:5,10038731:5,2013-05-05 06:08:40.917,,N
10038827:5,10038827:5,2013-05-05 06:08:40.917,,N
10038864:5,10038864:5,2013-05-05 06:08:40.917,,N
10039145:5,10039145:5,2013-05-05 06:08:40.917,,N
10067888:5,10067888:5,2013-05-05 06:08:40.917,,N
10067889:5,10067889:5,2013-05-05 06:08:40.917,,N
10067890:5,10067890:5,2013-05-05 06:08:40.917,,N
10067894:5,10067894:5,2013-05-05 06:08:40.917,,N
10067895:5,10067895:5,2013-05-05 06:08:40.917,,N
10067899:5,10067899:5,2013-05-05 06:08:40.917,,N
10067900:5,10067900:5,2013-05-05 06:08:40.917,,N
10067901:5,10067901:5,2013-05-05 06:08:40.917,,N
10067902:5,10067902:5,2016-08-18 09:43:12.477,,A
10067902:5,52077320:5,2013-05-05 06:08:40.917,2016-08-18 09:43:12.477,N
10067906:5,10067906:5,2013-05-05 06:08:40.917,,N
10067910:5,10067910:5,2013-05-05 06:08:40.917,,N
10067919:5,10067919:5,2013-05-05 06:08:40.917,,N
10067922:5,10067922:5,2013-05-05 06:08:40.917,,N
10067938:5,10067938:5,2013-05-05 06:08:40.917,,N
10067939:5,10067939:5,2013-05-05 06:08:40.917,,N
10067953:5,10067953:5,2013-05-05 06:08:40.917,,N
10067954:5,10067954:5,2013-05-05 06:08:40.917,,N
10067955:5,10067955:5,2013-05-05 06:08:40.917,,N
10067956:5,10067956:5,2013-05-05 06:08:40.917,,N
10067957:5,10067957:5,2013-05-05 06:08:40.917,,N
10067959:5,10067959:5,2013-05-05 06:08:40.917,,N
10067962:5,10067962:5,2013-05-05 06:08:40.917,,N
10067963:5,10067963:5,2013-05-05 06:08:40.917,,N
10067967:5,10096602:5,2013-05-05 06:08:40.917,,N
10067975:5,10067975:5,2013-05-05 06:08:40.917,,N
10067985:5,10067985:5,2013-05-05 06:08:40.917,,N
10067986:5,10067986:5,2013-05-05 06:08:40.917,,N
10067987:5,10067987:5,2013-05-05 06:08:40.917,,N
10067991:5,10067991:5,2013-05-05 06:08:40.917,,N
10067993:5,10067993:5,2013-05-05 06:08:40.917,,N
10067994:5,10067994:5,2014-05-01 08:45:43.960,,N
10067999:5,10067999:5,2013-05-05 06:08:40.917,,N
10068001:5,10068001:5,2013-05-05 06:08:40.917,,N
10068002:5,10068002:5,2013-05-05 06:08:40.917,,N
10068007:5,10068007:5,2013-05-05 06:08:40.917,,N
10068013:5,10068013:5,2013-05-05 06:08:40.917,,N
10068021:5,10068021:5,2013-05-05 06:08:40.917,,N
10068024:5,10068024:5,2013-05-05 06:08:40.917,,N
10068031:5,10068031:5,2013-05-05 06:08:40.917,,N
10068035:5,10068035:5,2013-05-05 06:08:40.917,,N
10068037:5,10007850:5,2013-05-05 06:08:40.917,,N
10068058:5,10068058:5,2013-05-05 06:08:40.917,,N
10068062:5,10068062:5,2013-05-05 06:08:40.917,,N
10068063:5,10068063:5,2013-05-05 06:08:40.917,,N
10068066:5,10068066:5,2013-05-05 06:08:40.917,,N
10068069:5,10068069:5,2013-05-05 06:08:40.917,,N
10068071:5,10068071:5,2013-05-05 06:08:40.917,,N
10068073:5,10068073:5,2013-05-05 06:08:40.917,,N
10068075:5,10068075:5,2013-05-05 06:08:40.917,,N
10068076:5,10068076:5,2013-05-05 06:08:40.917,,N
10068091:5,10068091:5,2013-05-05 06:08:40.917,,N
10068092:5,10068092:5,2013-05-05 06:08:40.917,,N
10068093:5,10068093:5,2013-05-05 06:08:40.917,,N
10068096:5,10068096:5,2013-05-05 06:08:40.917,,N
10068097:5,10068097:5,2013-05-05 06:08:40.917,,N
10068098:5,10068098:5,2013-05-05 06:08:40.917,,N
10068099:5,10076526:5,2013-05-05 06:08:40.917,,N
10068101:5,10007892:5,2013-05-05 06:08:40.917,,N
10068104:5,10068104:5,2013-05-05 06:08:40.917,,N
10068110:5,10068110:5,2013-05-05 06:08:40.917,,N
10068112:5,10068112:5,2013-05-05 06:08:40.917,,N
10068113:5,10068113:5,2013-05-05 06:08:40.917,,N
10068120:5,10068120:5,2013-05-05 06:08:40.917,,N
10068121:5,10068121:5,2013-05-05 06:08:40.917,,N
10068123:5,10068123:5,2013-05-05 06:08:40.917,,N
10068126:5,10068126:5,2013-05-05 06:08:40.917,,N
10068128:5,10068128:5,2013-05-05 06:08:40.917,,N
10068129:5,10068129:5,2013-05-05 06:08:40.917,,N
10068131:5,10068131:5,2013-05-05 06:08:40.917,,N
10068134:5,10068134:5,2013-05-05 06:08:40.917,2017-01-08 11:47:00.357,N
10068134:5,10094372:5,2017-01-08 11:47:00.357,,A
10068138:5,10068138:5,2013-05-05 06:08:40.917,,N
10068154:5,10068154:5,2013-05-05 06:08:40.917,,N
10068159:5,10068159:5,2013-05-05 06:08:40.917,,N
10068165:5,10068165:5,2013-05-05 06:08:40.917,,N
10068170:5,10068170:5,2013-05-05 06:08:40.917,,N
10068172:5,10068172:5,2013-05-05 06:08:40.917,,N
10068173:5,10068173:5,2013-05-05 06:08:40.917,,N
10068175:5,10068175:5,2013-05-05 06:08:40.917,,N
10068178:5,10068178:5,2013-05-05 06:08:40.917,,N
10068189:5,10068189:5,2013-05-05 06:08:40.917,,N
10068194:5,10068194:5,2013-05-05 06:08:40.917,,N
10068198:5,10068198:5,2013-05-05 06:08:40.917,,N
10068206:5,10068206:5,2013-05-05 06:08:40.917,,N
10068208:5,10068208:5,2013-05-05 06:08:40.917,,N
10068213:5,10068213:5,2013-05-05 06:08:40.917,,N
10068215:5,10068215:5,2013-05-05 06:08:40.917,,N
10068222:5,10068222:5,2013-05-05 06:08:40.917,,N
10068228:5,10068228:5,2013-05-05 06:08:40.917,,N
10068233:5,10068233:5,2013-05-05 06:08:40.917,,N
10068248:5,10007980:5,2013-05-05 06:08:40.917,,N
10068254:5,10068254:5,2013-05-05 06:08:40.917,,N
10068257:5,10068257:5,2013-05-05 06:08:40.917,,N
10068258:5,10068258:5,2013-05-05 06:08:40.917,,N
10068260:5,10068260:5,2013-05-05 06:08:40.917,,N
10068296:5,10068296:5,2013-05-05 06:08:40.917,,N
10068304:5,10068304:5,2013-05-05 06:08:40.917,,N
10068306:5,10068306:5,2013-05-05 06:08:40.917,,N
10068310:5,10068310:5,2013-05-05 06:08:40.917,,N
10068331:5,10068331:5,2013-05-05 06:08:40.917,,N
10068332:5,10068332:5,2013-05-05 06:08:40.917,,N
10068346:5,10068346:5,2013-05-05 06:08:40.917,,N
10068354:5,10068354:5,2013-05-05 06:08:40.917,,N
10068369:5,10068369:5,2013-05-05 06:08:40.917,,N
10068377:5,10068377:5,2013-05-05 06:08:40.917,,N
10068385:5,10068385:5,2013-05-05 06:08:40.917,,N
10068386:5,10068386:5,2020-06-23 08:54:40.217,,N
10068391:5,10068391:5,2013-05-05 06:08:40.917,,N
10068393:5,10068393:5,2013-05-05 06:08:40.917,,N
10068398:5,10068398:5,2013-05-05 06:08:40.917,,N
10068407:5,10068407:5,2013-05-05 06:08:40.917,,N
10068409:5,10068409:5,2013-05-05 06:08:40.917,,N
10068410:5,10068410:5,2013-05-05 06:08:40.917,,N
10068412:5,10068412:5,2013-05-05 06:08:40.917,,N
10068421:5,10068421:5,2013-05-05 06:08:40.917,,N
10068428:5,10068428:5,2013-05-05 06:08:40.917,,N
10068431:5,10076271:5,2013-05-05 06:08:40.917,,N
10068437:5,10068437:5,2013-05-05 06:08:40.917,,N
10068443:5,10068443:5,2013-05-05 06:08:40.917,,N
10068445:5,10068445:5,2013-05-05 06:08:40.917,,N
10068447:5,10068447:5,2013-05-05 06:08:40.917,,N
10068535:5,10068535:5,2013-05-05 06:08:40.917,,N
10068536:5,10068536:5,2013-05-05 06:08:40.917,,N
10068537:5,10068537:5,2013-05-05 06:08:40.917,,N
10068547:5,10068547:5,2013-05-05 06:08:40.917,,N
10068556:5,10068556:5,2013-05-05 06:08:40.917,,N
10068557:5,10068557:5,2013-05-05 06:08:40.917,,N
10068559:5,10068559:5,2013-05-05 06:08:40.917,,N
10068560:5,10068560:5,2013-05-05 06:08:40.917,,N
10068562:5,10068562:5,2013-05-05 06:08:40.917,,N
10068565:5,10068565:5,2013-05-05 06:08:40.917,,N
10068567:5,10068567:5,2013-05-05 06:08:40.917,,N
10068568:5,10068568:5,2013-05-05 06:08:40.917,,N
10068572:5,10068572:5,2013-05-05 06:08:40.917,,N
10068575:5,10068575:5,2013-05-05 06:08:40.917,,N
10068576:5,10068576:5,2013-05-05 06:08:40.917,,N
10068577:5,10068577:5,2013-05-05 06:08:40.917,,N
10068579:5,10068579:5,2013-05-05 06:08:40.917,,N
10068581:5,10068581:5,2013-05-05 06:08:40.917,,N
10068584:5,10068584:5,2013-05-05 06:08:40.917,,N
10068591:5,10068591:5,2013-05-05 06:08:40.917,,N
10068593:5,10068593:5,2013-05-05 06:08:40.917,,N
10068594:5,10068594:5,2013-05-05 06:08:40.917,,N
10068603:5,10068603:5,2013-05-05 06:08:40.917,,N
10068607:5,10068607:5,2013-05-05 06:08:40.917,,N
10068611:5,10068611:5,2013-05-05 06:08:40.917,,N
10068616:5,10068616:5,2013-05-05 06:08:40.917,,N
10068621:5,10068621:5,2013-05-05 06:08:40.917,,N
10068623:5,10068623:5,2013-08-22 08:16:17.230,,N
10068624:5,10068624:5,2013-05-05 06:08:40.917,,N
10068626:5,10068626:5,2013-05-05 06:08:40.917,,N
10068629:5,10068629:5,2013-05-05 06:08:40.917,,N
10068632:5,10068632:5,2013-05-05 06:08:40.917,,N
10068644:5,10068644:5,2013-05-05 06:08:40.917,,N
10068645:5,10068645:5,2013-05-05 06:08:40.917,,N
10068646:5,10068646:5,2013-05-05 06:08:40.917,,N
10068655:5,10068655:5,2013-05-05 06:08:40.917,,N
10068657:5,10068657:5,2013-05-05 06:08:40.917,,N
10068664:5,10068664:5,2013-05-05 06:08:40.917,,N
10068673:5,10068673:5,2013-05-05 06:08:40.917,,N
10068675:5,10068675:5,2013-05-05 06:08:40.917,,N
10068678:5,10068678:5,2013-05-05 06:08:40.917,,N
10068681:5,10068681:5,2013-05-05 06:08:40.917,,N
10068684:5,10068684:5,2013-05-05 06:08:40.917,,N
10068698:5,10068698:5,2013-05-05 06:08:40.917,,N
10068700:5,10068700:5,2013-05-05 06:08:40.917,,N
10068715:5,54276089:5,2013-05-05 06:08:40.917,,N
10068717:5,10068717:5,2013-05-05 06:08:40.917,,N
10068718:5,10068718:5,2013-05-05 06:08:40.917,,N
10068719:5,10068719:5,2013-05-05 06:08:40.917,,N
10068721:5,10068721:5,2013-05-05 06:08:40.917,,N
10068722:5,10068722:5,2013-05-05 06:08:40.917,,N
10068723:5,10068723:5,2013-05-05 06:08:40.917,,N
10068727:5,10068727:5,2013-05-05 06:08:40.917,,N
10068729:5,10068729:5,2013-05-05 06:08:40.917,,N
10068734:5,10068734:5,2013-05-05 06:08:40.917,,N
10068735:5,10068735:5,2013-05-05 06:08:40.917,,N
10068741:5,10068741:5,2013-05-05 06:08:40.917,,N
10068742:5,10068742:5,2013-05-05 06:08:40.917,,N
10068747:5,10068747:5,2013-05-05 06:08:40.917,,N
10068755:5,10068755:5,2013-05-05 06:08:40.917,,N
10068761:5,10068761:5,2013-05-05 06:08:40.917,,N
10068763:5,10068763:5,2013-05-05 06:08:40.917,,N
10068765:5,10068765:5,2013-05-05 06:08:40.917,,N
10068783:5,10068783:5,2013-05-05 06:08:40.917,,N
10068796:5,10068796:5,2013-05-05 06:08:40.917,,N
10068797:5,10068797:5,2013-05-05 06:08:40.917,,N
10068800:5,10068800:5,2013-05-05 06:08:40.917,,N
10068804:5,10068804:5,2013-05-05 06:08:40.917,,N
10068807:5,10068807:5,2013-05-05 06:08:40.917,,N
10068808:5,10068808:5,2013-05-05 06:08:40.917,,N
10068811:5,10068811:5,2013-05-05 06:08:40.917,,N
10068813:5,10068813:5,2013-05-05 06:08:40.917,,N
10068830:5,10068830:5,2013-05-05 06:08:40.917,,N
10068835:5,10068835:5,2013-05-05 06:08:40.917,,N
10068840:5,10068840:5,2013-05-05 06:08:40.917,,N
10068842:5,10068842:5,2013-05-05 06:08:40.917,,N
10068845:5,10068845:5,2013-05-05 06:08:40.917,,N
10068847:5,10068847:5,2013-05-05 06:08:40.917,,N
10068856:5,10068856:5,2013-05-05 06:08:40.917,,N
10068858:5,10068858:5,2013-05-05 06:08:40.917,,N
10068866:5,10068866:5,2013-05-05 06:08:40.917,,N
10068867:5,10068867:5,2013-05-05 06:08:40.917,,N
10068870:5,10068870:5,2013-05-05 06:08:40.917,,N
10068871:5,10068871:5,2013-05-05 06:08:40.917,,N
10068881:5,10068881:5,2013-05-05 06:08:40.917,,N
10068887:5,10068887:5,2013-05-05 06:08:40.917,,N
10068888:5,10068888:5,2013-05-05 06:08:40.917,,N
10068889:5,10068889:5,2013-05-05 06:08:40.917,,N
10068890:5,10068890:5,2013-05-05 06:08:40.917,,N
10068892:5,10068892:5,2013-05-05 06:08:40.917,,N
10068893:5,10068893:5,2013-05-05 06:08:40.917,,N
10068894:5,10068894:5,2013-05-05 06:08:40.917,,N
10068896:5,10068896:5,2013-05-05 06:08:40.917,,N
10068904:5,10068904:5,2013-05-05 06:08:40.917,,N
10068917:5,10068917:5,2013-05-05 06:08:40.917,,N
10068921:5,10068921:5,2013-05-05 06:08:40.917,,N
10068926:5,10068926:5,2013-05-05 06:08:40.917,,N
10068928:5,10068928:5,2013-05-05 06:08:40.917,,N
10068931:5,10068931:5,2013-05-05 06:08:40.917,,N
10068934:5,10068934:5,2013-05-05 06:08:40.917,,N
10068936:5,10068936:5,2013-05-05 06:08:40.917,,N
10068945:5,10068945:5,2013-05-05 06:08:40.917,,N
10068953:5,10068953:5,2013-05-05 06:08:40.917,,N
10068981:5,10068981:5,2013-05-05 06:08:40.917,,N
10068987:5,10068987:5,2013-05-05 06:08:40.917,,N
10068988:5,10068988:5,2013-05-05 06:08:40.917,,N
10068994:5,10068994:5,2013-05-05 06:08:40.917,,N
10068996:5,10068996:5,2013-05-05 06:08:40.917,,N
10068999:5,10068999:5,2013-05-05 06:08:40.917,,N
10069003:5,10069003:5,2013-05-05 06:08:40.917,,N
10069005:5,10069005:5,2013-05-05 06:08:40.917,,N
10069006:5,10069006:5,2013-05-05 06:08:40.917,,N
10069007:5,10069007:5,2013-05-05 06:08:40.917,,N
10069011:5,10069011:5,2013-05-05 06:08:40.917,,N
10069021:5,10069021:5,2013-05-05 06:08:40.917,,N
10069023:5,10069023:5,2013-05-05 06:08:40.917,,N
10069024:5,10069024:5,2013-05-05 06:08:40.917,,N
10069025:5,10069025:5,2013-05-05 06:08:40.917,,N
10069027:5,10069027:5,2013-05-05 06:08:40.917,,N
10069030:5,10069030:5,2013-05-05 06:08:40.917,,N
10069034:5,10069034:5,2013-05-05 06:08:40.917,,N
10069044:5,10069044:5,2013-05-05 06:08:40.917,,N
10069048:5,10069048:5,2013-05-05 06:08:40.917,,N
10069050:5,10069050:5,2013-05-05 06:08:40.917,,N
10069053:5,10069053:5,2013-05-05 06:08:40.917,,N
10069055:5,10069055:5,2013-05-05 06:08:40.917,,N
10069056:5,10069056:5,2013-05-05 06:08:40.917,,N
10069057:5,10069057:5,2013-05-05 06:08:40.917,,N
10069068:5,10069068:5,2013-05-05 06:08:40.917,,N
10069074:5,10069074:5,2013-05-05 06:08:40.917,,N
10069075:5,10069075:5,2013-05-05 06:08:40.917,,N
10069077:5,10069077:5,2013-05-05 06:08:40.917,,N
10069080:5,10069080:5,2013-05-05 06:08:40.917,,N
10069084:5,10069084:5,2013-05-05 06:08:40.917,,N
10069108:5,10069108:5,2013-05-05 06:08:40.917,,N
10069111:5,10069111:5,2013-05-05 06:08:40.917,,N
10069113:5,10069113:5,2013-05-05 06:08:40.917,,N
10069117:5,10069117:5,2013-05-05 06:08:40.917,,N
10069120:5,10069120:5,2013-05-05 06:08:40.917,,N
10069125:5,10069125:5,2013-05-05 06:08:40.917,,N
10069127:5,10069127:5,2013-05-05 06:08:40.917,,N
10069131:5,10069131:5,2017-06-14 09:24:55.037,,N
10069135:5,10069135:5,2013-05-05 06:08:40.917,,N
10069137:5,10069137:5,2013-05-05 06:08:40.917,,N
10069157:5,10069157:5,2013-05-05 06:08:40.917,,N
10069160:5,10069160:5,2013-05-05 06:08:40.917,,N
10069161:5,10069161:5,2013-05-05 06:08:40.917,,N
10069165:5,10069165:5,2013-05-05 06:08:40.917,,N
10069168:5,10069168:5,2013-05-05 06:08:40.917,,N
10069169:5,10069169:5,2013-05-05 06:08:40.917,,N
10069174:5,10069174:5,2013-05-05 06:08:40.917,,N
10069177:5,10069177:5,2013-05-05 06:08:40.917,,N
10069180:5,10069180:5,2013-05-05 06:08:40.917,,N
