from,to
122737133:5,122737133:5
122867928:5,122867928:5
122867930:5,122867930:5
122867940:5,122867940:5
122868416:5,122868416:5
122895364:5,122895364:5
122950127:5,122950127:5
122950129:5,122950129:5
123046485:5,123046485:5
123046486:5,123046486:5
123046555:5,123046555:5
123046556:5,123046556:5
123059483:5,10074104:5
123059496:5,123059496:5
123059497:5,123059497:5
123124820:5,123124820:5
123158657:5,53710127:5
123166134:5,123166134:5
123166970:5,123166970:5
123166971:5,123166971:5
123167525:5,123167525:5
123180900:5,123180900:5
123195147:5,50002366:5
123195424:5,123195424:5
123277685:5,123277685:5
123303736:5,123303736:5
123303753:5,123303753:5
123303761:5,123303761:5
123303879:5,123303879:5
123303881:5,123303881:5
123303882:5,123303882:5
123303883:5,123303883:5
123303884:5,123303884:5
123304974:5,123304974:5
123304975:5,123304975:5
123316711:5,123316711:5
123317734:5,123317734:5
123317750:5,123317750:5
123318470:5,123318470:5
123333240:5,123333240:5
123333241:5,123333241:5
123339645:5,123339645:5
123340149:5,123340149:5
123441661:5,105729329:5
123441692:5,123441692:5
123441701:5,123441701:5
123441705:5,123441705:5
123441713:5,123441713:5
123441714:5,123441714:5
123441724:5,123441724:5
123441729:5,123441729:5
123441737:5,123441737:5
123457404:5,123457404:5
123458282:5,123458282:5
123474460:5,123474460:5
123486080:5,123486080:5
123486081:5,123486081:5
123486082:5,123486082:5
123486095:5,123486095:5
123486150:5,105729329:5
123537486:5,70582117:5
123539218:5,123539218:5
123539228:5,123539228:5
123539230:5,123539230:5
123539231:5,123539231:5
123570958:5,70582117:5
123570959:5,70582117:5
123576414:5,102026051:5
123596858:5,102026051:5
123596860:5,102026051:5
123599545:5,123599545:5
123599547:5,123599547:5
123599550:5,123599550:5
123599552:5,123599552:5
123640347:5,123640347:5
123640361:5,123640361:5
123640463:5,60402528:5
123645332:5,123645332:5
123692591:5,60402528:5
123692592:5,60402528:5
123695214:5,123695214:5
123711841:5,123711841:5
123741282:5,123741282:5
123741285:5,123741285:5
123754584:5,123754584:5
123755960:5,123755960:5
123755963:5,123755963:5
123756873:5,123756873:5
123786028:5,123786028:5
123787172:5,123787172:5
124001004:5,124001004:5
124001009:5,124001009:5
124001010:5,124001010:5
124001013:5,124001013:5
124001293:5,124001293:5
124001297:5,124001297:5
124001300:5,124001300:5
124001301:5,124001301:5
124001656:5,124001656:5
124026810:5,124026810:5
124030443:5,124030443:5
124037152:5,124037152:5
124037285:5,124037285:5
124045080:5,124045080:5
124197624:5,124197624:5
124197950:5,124197950:5
124218641:5,124218641:5
124218670:5,124218670:5
124218672:5,124218672:5
124291774:5,124291774:5
124291775:5,124291775:5
124303011:5,124303011:5
124328737:5,124328737:5
124343012:5,124343012:5
124343014:5,124343014:5
124345504:5,124345504:5
124406020:5,124406020:5
124424005:5,124424005:5
124424006:5,124424006:5
124424007:5,124424007:5
124424008:5,124424008:5
124424009:5,124424009:5
124424412:5,124424412:5
124424415:5,124424415:5
124424417:5,124424417:5
124424418:5,124424418:5
124424419:5,124424419:5
124424420:5,124424420:5
124424421:5,124424421:5
124424423:5,124424423:5
124424424:5,124424424:5
124425549:5,124425549:5
124449770:5,124449770:5
124450301:5,124450301:5
124466578:5,124466578:5
124507926:5,124507926:5
124565505:5,124565505:5
124585458:5,124585458:5
124585463:5,124585463:5
124620948:5,124620948:5
124796844:5,117880912:5
124796845:5,117880912:5
125284280:5,125284280:5
125413622:5,125413622:5
125443896:5,125443896:5
125443899:5,125443899:5
125443900:5,125443900:5
125443903:5,125443903:5
125443916:5,125443916:5
125443917:5,125443917:5
125454660:5,125454660:5
125494378:5,125494378:5
125494379:5,125494379:5
125533172:5,125533172:5
125599602:5,125599602:5
125599603:5,125599603:5
125599604:5,125599604:5
125599605:5,125599605:5
125599606:5,125599606:5
125599607:5,125599607:5
125599608:5,125599608:5
125610910:5,125610910:5
125611366:5,125611366:5
125611640:5,125611640:5
125611646:5,125611646:5
125684668:5,125684668:5
125916736:5,125916736:5
125916739:5,125916739:5
125957110:5,125957110:5
125981267:5,125981267:5
126056287:5,126056287:5
126058666:5,126058666:5
126060523:5,126060523:5
126060547:5,126060547:5
126096739:5,126096739:5
126096741:5,126096741:5
126111193:5,126111193:5
126112686:5,126112686:5
126112696:5,126112696:5
126163367:5,126163367:5
126230940:5,126230940:5
126230941:5,126230941:5
126235422:5,126235422:5
126257455:5,109831913:5
126260289:5,109831913:5
126260290:5,109831913:5
126262881:5,126262881:5
126262884:5,126262884:5
126262952:5,126262952:5
126262955:5,126262955:5
126287078:5,83123081:5
126301147:5,93105208:5
126340414:5,126340414:5
126376153:5,126376153:5
126378483:5,60402528:5
126397944:5,60402528:5
126397945:5,60402528:5
126420954:5,126420954:5
126421015:5,126421015:5
126421017:5,126421017:5
126421063:5,126421063:5
126421302:5,126421302:5
126421310:5,126421310:5
126592348:5,126592348:5
126624636:5,126624636:5
126624701:5,126624701:5
126656870:5,126656870:5
126696849:5,126696849:5
126698025:5,126698025:5
126698028:5,126698028:5
126698030:5,126698030:5
126701737:5,126701737:5
126718339:5,126718339:5
126718523:5,126718523:5
126718524:5,126718524:5
126718525:5,126718525:5
126718526:5,126718526:5
126718527:5,126718527:5
126732804:5,126732804:5
126733562:5,126733562:5
126733564:5,126733564:5
126733565:5,126733565:5
126734530:5,126734530:5
126778514:5,126778514:5
126795368:5,126795368:5
126805059:5,126805059:5
126808570:5,10085445:5
126808574:5,10085445:5
126809271:5,126809271:5
126809278:5,126809278:5
126809284:5,126809284:5
126809286:5,126809286:5
126810976:5,126810976:5
126839513:5,126839513:5
126840093:5,126840093:5
126850873:5,126850873:5
126891826:5,126891826:5
126909105:5,126909105:5
126971697:5,126971697:5
126971769:5,126971769:5
126996464:5,126996464:5
126996466:5,126996466:5
126996467:5,126996467:5
126996468:5,126996468:5
126996601:5,126996601:5
126996695:5,126996695:5
127013992:5,127013992:5
127029506:5,127029506:5
127029507:5,127029507:5
127031999:5,127031999:5
127107965:5,127107965:5
127136636:5,127136636:5
127141625:5,127141625:5
127141636:5,127141636:5
127141637:5,127141637:5
127167984:5,127167984:5
127167995:5,127167995:5
127168012:5,127168012:5
127168024:5,127168024:5
127168025:5,127168025:5
127169951:5,127169951:5
127169952:5,127169952:5
127302739:5,10038728:5
127314542:5,127314542:5
127497990:5,127497990:5
127556215:5,10006743:5
127641605:5,10006743:5
127641606:5,10006743:5
127665883:5,127665883:5
127736731:5,10005896:5
127736732:5,10005896:5
127736733:5,10006209:5
127736734:5,52172453:5
127736735:5,10006692:5
127736736:5,10006795:5
127736737:5,10006795:5
127736738:5,10084911:5
127736739:5,10085033:5
127736740:5,10100314:5
127736741:5,52172015:5
127736742:5,10085445:5
127736743:5,52174331:5
127736744:5,52174584:5
127736745:5,52448445:5
127736746:5,52732454:5
127736747:5,53580990:5
127736748:5,53581028:5
127736749:5,53710125:5
127736750:5,53710126:5
127736751:5,53710127:5
127736752:5,54639510:5
127736753:5,54639511:5
127736754:5,54644510:5
127736755:5,55495072:5
127736756:5,56078489:5
127736757:5,56389874:5
127736758:5,59037776:5
127736759:5,60402204:5
127736760:5,60402228:5
127736761:5,60402256:5
127736762:5,60402276:5
127736763:5,60402291:5
127736764:5,60402301:5
127736765:5,60402353:5
127736766:5,60402383:5
127736767:5,60402388:5
127736768:5,60402396:5
127736769:5,60402406:5
127736770:5,60402476:5
127736771:5,60402506:5
127736772:5,60402511:5
127736773:5,60402513:5
127736774:5,60402528:5
127736775:5,60402534:5
127736776:5,60402551:5
127736777:5,60402561:5
127736778:5,60402578:5
127736779:5,60402581:5
127736780:5,60409382:5
127736781:5,116394128:5
127736782:5,60879978:5
127736783:5,61887589:5
127736784:5,62296506:5
127736785:5,62482893:5
127736786:5,62659901:5
127736787:5,63076520:5
127736788:5,67169842:5
127736789:5,68714888:5
127736790:5,69867164:5
127736791:5,70582117:5
127736792:5,81205928:5
127736793:5,89582645:5
127736794:5,93740387:5
127736795:5,94012013:5
127736796:5,98700210:5
127736797:5,98700624:5
127736798:5,105408161:5
127736799:5,105729329:5
127736800:5,115086977:5
127736801:5,116148323:5
127736802:5,117880912:5
127736803:5,120605243:5
127736804:5,102026051:5
127736805:5,109831913:5
127736806:5,10006743:5
127736807:5,10005896:5
127736808:5,10005896:5
127736809:5,10006209:5
127736810:5,52172453:5
127736811:5,10006692:5
127736812:5,10006697:5
127736813:5,10006795:5
127736814:5,10006795:5
127736815:5,10007679:5
127736816:5,10084911:5
127736817:5,10085033:5
127736818:5,10100314:5
127736819:5,52172015:5
127736820:5,52172453:5
127736821:5,10085445:5
127736822:5,52174331:5
127736823:5,52448445:5
127736824:5,52732454:5
127736825:5,53580986:5
127736826:5,53580990:5
127736827:5,53581028:5
127736828:5,53710125:5
127736829:5,53710126:5
127736830:5,53710127:5
127736831:5,53710131:5
127736832:5,54639510:5
127736833:5,54639511:5
127736834:5,54644510:5
127736835:5,54644511:5
127736836:5,55495072:5
127736837:5,56078489:5
127736838:5,56389864:5
127736839:5,56389865:5
127736840:5,56389874:5
127736841:5,57415503:5
127736842:5,59037776:5
127736843:5,60402204:5
127736844:5,60402228:5
127736845:5,60402256:5
127736846:5,60402263:5
127736847:5,60402276:5
127736848:5,60402291:5
127736849:5,60402301:5
127736850:5,60402353:5
127736851:5,60402361:5
127736852:5,60402383:5
127736853:5,60402388:5
127736854:5,60402406:5
127736855:5,60402476:5
127736856:5,60402506:5
127736857:5,60402511:5
127736858:5,60402513:5
127736859:5,60402528:5
127736860:5,60402551:5
127736861:5,60402561:5
127736862:5,60402578:5
127736863:5,60402581:5
127736864:5,60409382:5
127736865:5,60879978:5
127736866:5,61887589:5
127736867:5,62064509:5
127736868:5,62296506:5
127736869:5,62659901:5
127736870:5,63076520:5
127736871:5,65677607:5
127736872:5,68179181:5
127736873:5,69867164:5
127736874:5,70582117:5
127736875:5,81205928:5
127736876:5,89582645:5
127736877:5,91258158:5
127736878:5,93740387:5
127736879:5,94012009:5
127736880:5,94012013:5
127736881:5,96409577:5
127736882:5,96587378:5
127736883:5,98700210:5
127736884:5,98700624:5
127736885:5,105408161:5
127736886:5,105729329:5
127736887:5,107302204:5
127736888:5,111037540:5
127736889:5,115086977:5
127736890:5,117880912:5
127736891:5,102026051:5
127736892:5,109831913:5
127736893:5,10006743:5
127737439:5,127737439:5
127756090:5,127756090:5
127757078:5,52172450:5
127757082:5,52172450:5
127780609:5,10073721:5
127844109:5,127844109:5
127870672:5,127870672:5
127951318:5,127951318:5
127995497:5,60879978:5
127995763:5,60879978:5
127995764:5,60879978:5
128027964:5,128027964:5
128251127:5,10007679:5
128596983:5,128596983:5
128604994:5,128604994:5
128605054:5,128605054:5
128605061:5,128605061:5
128620049:5,89244669:5
128620092:5,128620092:5
128856419:5,128856419:5
128891854:5,128891854:5
128904989:5,96409577:5
129201106:5,129201106:5
129254188:5,129254188:5
129254196:5,129254196:5
129419072:5,56078489:5
129429682:5,56078489:5
129429683:5,56078489:5
129575357:5,56389865:5
129576068:5,91258158:5
129630572:5,61499433:5
129630573:5,61499433:5
129645181:5,129645181:5
129648843:5,129648843:5
129714911:5,52175185:5
129721439:5,52175185:5
129895903:5,129895903:5
129898998:5,56389864:5
130028829:5,10085445:5
130028830:5,10085445:5
130157996:5,130157996:5
130250785:5,130250785:5
130537394:5,130537394:5
130550105:5,130550105:5
130789176:5,130789176:5
130795895:5,130795895:5
130814633:5,130814633:5
130928097:5,130928097:5
130963960:5,10075433:5
131038748:5,131038748:5
131038765:5,131038765:5
131052891:5,131052891:5
131056161:5,131038765:5
131056162:5,131038765:5
131190631:5,131190631:5
131190666:5,131190666:5
131219244:5,131219244:5
131238137:5,52431419:5
131373692:5,53710127:5
131392629:5,53710127:5
131392630:5,53710127:5
131393287:5,53710127:5
131510203:5,53710127:5
131510204:5,53710127:5
131736144:5,86798615:5
131737465:5,131737465:5
131799826:5,131799826:5
131906236:5,131906236:5
131979412:5,131979412:5
132008567:5,132008567:5
132299974:5,91162072:5
132299975:5,10038731:5
132299976:5,60921936:5
132313801:5,132313801:5
132316239:5,60921936:5
132316242:5,91162072:5
132316244:5,10038731:5
132472622:5,10026068:5
132630419:5,52175182:5
133071762:5,52172453:5
133315344:5,133315344:5
133319505:5,133319505:5
133323333:5,107062931:5
133323393:5,107062931:5
133353833:5,133353833:5
133390057:5,133315344:5
133390058:5,133315344:5
133565762:5,133565762:5
