from,to
103612332:5,68714888:5
103612333:5,60402458:5
103612336:5,96409577:5
103612338:5,54644510:5
103612340:5,56389865:5
103612342:5,60402528:5
103612344:5,10006050:5
103612346:5,52174331:5
103612349:5,10007679:5
103612351:5,52174313:5
103612354:5,60402578:5
103612356:5,10006796:5
103612358:5,60402532:5
103612361:5,57415503:5
103612363:5,53580986:5
103612365:5,52174584:5
103612368:5,10084911:5
103612370:5,52172453:5
103612372:5,53710125:5
103612375:5,10006697:5
103612397:5,68688591:5
103612426:5,60402581:5
103612427:5,60409382:5
103659912:5,54644510:5
103659913:5,10085445:5
103659914:5,53580986:5
103659915:5,59037776:5
103659923:5,56078489:5
103659924:5,52172015:5
103659925:5,53581033:5
103659926:5,68179181:5
103659927:5,52174319:5
103659928:5,68714888:5
103659929:5,60402458:5
103659930:5,96409577:5
103659931:5,62482893:5
103659932:5,56389865:5
103659933:5,60402528:5
103659934:5,10006050:5
103659935:5,52174331:5
103659936:5,10007679:5
103659937:5,52174313:5
103659938:5,60402578:5
103659939:5,10006796:5
103659940:5,60402532:5
103659941:5,57415503:5
103659942:5,52174584:5
103659943:5,10084911:5
103659944:5,52172453:5
103659945:5,60402506:5
103659946:5,53710125:5
103659947:5,10005895:5
103659948:5,10006697:5
103659949:5,68688591:5
103659950:5,60402581:5
103659951:5,60409382:5
103976390:5,103976390:5
103993404:5,103993404:5
103997404:5,103997404:5
103998160:5,53580990:5
104006277:5,98997103:5
104085764:5,104085764:5
104085770:5,104085770:5
104118839:5,57298208:5
104118843:5,104118843:5
104119296:5,60402375:5
104119298:5,60402406:5
104119299:5,52732454:5
104132418:5,53710125:5
104133086:5,104133086:5
104233270:5,104233270:5
104233271:5,104233271:5
104422669:5,104422669:5
104450398:5,104450398:5
104543353:5,104543353:5
104564560:5,104564560:5
104695920:5,104695920:5
104707085:5,104707085:5
104764459:5,104764459:5
104780347:5,104780347:5
104789935:5,104789935:5
104789937:5,104789935:5
104816909:5,104816909:5
104830358:5,104830358:5
104831643:5,104831643:5
104986582:5,104986582:5
105062690:5,105062690:5
105075116:5,105075116:5
105098931:5,105098931:5
105107967:5,105107967:5
105110882:5,105110882:5
105148784:5,105148784:5
105148788:5,105148788:5
105182123:5,105182123:5
105190134:5,105190134:5
105191584:5,105191584:5
105197432:5,10006691:5
105197451:5,10038690:5
105197794:5,60402243:5
105197795:5,60402256:5
105197796:5,60402396:5
105197797:5,60402511:5
105197798:5,60402551:5
105197807:5,62064509:5
105197936:5,93740387:5
105229514:5,105229514:5
105229518:5,105229518:5
105231824:5,65803564:5
105290111:5,105290111:5
105290112:5,105290112:5
105315209:5,56389864:5
105318439:5,105318439:5
105318440:5,105318440:5
105355433:5,105355433:5
105355435:5,105355435:5
105357394:5,56389864:5
105392146:5,105392146:5
105392147:5,105392147:5
105392148:5,105392148:5
105396108:5,105396108:5
105401982:5,105401982:5
105401984:5,105401984:5
105406001:5,105406001:5
105408155:5,105408155:5
105408157:5,105408157:5
105408160:5,105408160:5
105408161:5,105408161:5
105413751:5,105413751:5
105413754:5,105413754:5
105432274:5,10074296:5
105459608:5,105459608:5
105635638:5,105635638:5
105635639:5,105635639:5
105646247:5,105646247:5
105655660:5,53997295:5
105656506:5,105656506:5
105656820:5,65803564:5
105656822:5,105655660:5
105729329:5,105729329:5
105730270:5,105730270:5
105744909:5,105744909:5
105751645:5,105751645:5
105751647:5,105751647:5
105765239:5,105765239:5
105807956:5,10005896:5
105815516:5,105815516:5
105816173:5,105816173:5
105816320:5,105816320:5
105826631:5,105826631:5
105836446:5,105836446:5
105845938:5,105845938:5
105845960:5,105845960:5
105924268:5,105924268:5
105925281:5,105925281:5
105925285:5,105925285:5
105937125:5,105937125:5
105955289:5,105955289:5
105957892:5,105957892:5
105957893:5,105957893:5
105964506:5,105964506:5
105978998:5,60402291:5
105993720:5,98700210:5
105993722:5,98700210:5
105993723:5,98700210:5
105993739:5,98700210:5
106151350:5,60402291:5
106161010:5,106161010:5
106311023:5,10006796:5
106347054:5,106347054:5
106358653:5,106358653:5
106376704:5,106376704:5
106376708:5,106376708:5
106376710:5,106376710:5
106376711:5,106376711:5
106417674:5,106417674:5
106423325:5,106423325:5
106428599:5,106428599:5
106428605:5,106428605:5
106440043:5,106440043:5
106442223:5,52236730:5
106462605:5,106462605:5
106463633:5,74182692:5
106503226:5,106503226:5
106522006:5,106522006:5
106537395:5,106537395:5
106537397:5,106537397:5
106537441:5,106537441:5
106544636:5,52336691:5
106571966:5,106571966:5
106736739:5,106736739:5
106736740:5,106736740:5
106736741:5,106736741:5
106737026:5,106737026:5
106754997:5,81336572:5
106762009:5,60402228:5
106764201:5,106764201:5
106773551:5,106773551:5
106773552:5,106773552:5
106773553:5,106773553:5
106773591:5,50002102:5
106862251:5,81205928:5
106863365:5,60402228:5
106863696:5,81205928:5
106863697:5,62296506:5
106866170:5,106866170:5
106875082:5,62296506:5
106875172:5,81205928:5
106886154:5,106886154:5
106923871:5,106923871:5
106945577:5,106945577:5
106955163:5,62296506:5
106959992:5,106959992:5
106962758:5,106962758:5
107006913:5,52732454:5
107025026:5,107025026:5
107030087:5,107030087:5
107030088:5,107030088:5
107030089:5,107030089:5
107030090:5,107030090:5
107030091:5,107030091:5
107035792:5,107035792:5
107044361:5,107044361:5
107061839:5,101350000:5
107062931:5,107062931:5
107075628:5,60402506:5
107076307:5,60402506:5
107095677:5,107095677:5
107295651:5,107295651:5
107295652:5,107295652:5
107295654:5,107295654:5
107295655:5,107295655:5
107302204:5,107302204:5
107316283:5,107316283:5
107317007:5,107317007:5
107329764:5,107329764:5
107410752:5,107410752:5
107429884:5,107429884:5
107446256:5,107446256:5
107510597:5,107510597:5
107530733:5,107530733:5
107537870:5,107537870:5
107559994:5,107559994:5
107560876:5,60402276:5
107618664:5,107618664:5
107633700:5,107633700:5
107635578:5,60402406:5
107659662:5,84719427:5
107659873:5,107659662:5
107665897:5,107665897:5
107666934:5,60402276:5
107907624:5,50018710:5
107907625:5,60402276:5
107907739:5,94012009:5
107923449:5,107923449:5
107933684:5,107933684:5
107978091:5,107978091:5
107980280:5,50018710:5
108021906:5,108021906:5
108063072:5,108063072:5
108063074:5,108063074:5
108116997:5,108116997:5
108165124:5,108165124:5
108165125:5,108165125:5
108165126:5,108165126:5
108185892:5,108185892:5
108185893:5,108185893:5
108192812:5,108192812:5
108195337:5,56389874:5
108198418:5,108198418:5
108216699:5,60402476:5
108216740:5,108216740:5
108272163:5,108272163:5
108295337:5,108295337:5
108299414:5,108299414:5
108336770:5,108336770:5
108336773:5,108336773:5
108366322:5,108366322:5
108383351:5,108383351:5
108387373:5,108387373:5
108387376:5,108387376:5
108599331:5,108599331:5
108614063:5,62659901:5
108702326:5,108702326:5
108702327:5,108702327:5
108726935:5,108726935:5
108726937:5,108726937:5
108736684:5,108736684:5
108737554:5,53710126:5
108781806:5,108781806:5
108796564:5,108796564:5
108796565:5,108796565:5
108796567:5,108796567:5
108811674:5,108811674:5
108816090:5,60409382:5
108816098:5,60402567:5
108816124:5,53710126:5
108816180:5,108816180:5
108816182:5,108816182:5
108816188:5,60409382:5
108819243:5,108819243:5
108868561:5,108868561:5
108899955:5,108899955:5
108954644:5,108811674:5
108954662:5,108954662:5
109093952:5,109093952:5
109093957:5,109093957:5
109093958:5,109093958:5
109093960:5,109093960:5
109112593:5,109112593:5
109112594:5,109112594:5
109113423:5,61887589:5
109113773:5,61887589:5
109124791:5,74564495:5
109126821:5,94012013:5
109126832:5,57415503:5
109126833:5,61887589:5
109168273:5,109168273:5
109169672:5,60402476:5
109193402:5,60879978:5
109193404:5,60879978:5
109193407:5,60402204:5
109193417:5,10006743:5
109193625:5,60402204:5
109204519:5,60402204:5
109204520:5,81205928:5
109204521:5,105408161:5
109204571:5,60879978:5
109204700:5,60402476:5
109204725:5,105408161:5
109204731:5,105408161:5
109216078:5,54639510:5
109216086:5,60402534:5
109225343:5,109225343:5
109230307:5,109230341:5
109230341:5,109230341:5
109233042:5,109233042:5
109285451:5,60402513:5
109285484:5,60879978:5
109285497:5,109285497:5
109313484:5,109313484:5
109313485:5,109313485:5
109314022:5,60402534:5
109323695:5,109323695:5
109341079:5,60402513:5
109341081:5,60467180:5
109341306:5,60467180:5
109351811:5,109351811:5
109352263:5,105408161:5
109395236:5,62659901:5
109395238:5,109395236:5
109395239:5,109395236:5
109395240:5,109395236:5
109395241:5,109395236:5
109396716:5,10006743:5
109396737:5,10006743:5
109420145:5,60402513:5
109420169:5,60402204:5
109420171:5,98700624:5
109420172:5,98700624:5
109420174:5,98700624:5
109420175:5,98700624:5
109424821:5,109424821:5
109437106:5,60402513:5
109466380:5,109466380:5
109613245:5,109613245:5
109613257:5,109613257:5
109633910:5,10069326:5
109710089:5,10113426:5
109775633:5,10077738:5
109776004:5,109776004:5
109831713:5,109831713:5
109831912:5,109831912:5
109831913:5,109831913:5
109832090:5,109832090:5
109914176:5,109914176:5
109932724:5,10006796:5
109933034:5,109932724:5
109933035:5,109932724:5
109933037:5,109932724:5
109933038:5,109932724:5
109938395:5,109938395:5
110025066:5,110025066:5
110055149:5,110055149:5
110063521:5,110063521:5
110084043:5,63076520:5
110092483:5,110092483:5
110350319:5,110350319:5
110365906:5,55495072:5
110378695:5,53710125:5
110418594:5,70582117:5
110432260:5,60402388:5
110438865:5,110438865:5
110442153:5,60402388:5
110463840:5,110463840:5
110464622:5,60402388:5
110510787:5,10006795:5
110526743:5,52355821:5
110527861:5,110527861:5
110547901:5,10006795:5
110571671:5,110571671:5
110571672:5,110571672:5
110587971:5,81677403:5
110588187:5,110588187:5
110602438:5,110602438:5
110816322:5,110816322:5
110816325:5,110816325:5
110880617:5,110880617:5
110882186:5,110882186:5
110882382:5,10006743:5
110903012:5,65677607:5
110903019:5,65677607:5
110903027:5,60402409:5
110907573:5,110907573:5
110919026:5,53581028:5
110939120:5,53672885:5
110940053:5,60402511:5
110940062:5,110940062:5
110988280:5,110988280:5
111027058:5,111027058:5
111027064:5,111027064:5
111037536:5,111037536:5
111037537:5,111037537:5
111037538:5,111037538:5
111037539:5,111037539:5
111037540:5,111037540:5
111037781:5,88610165:5
111113521:5,68688591:5
111160112:5,50014707:5
111261888:5,111261888:5
111290860:5,111290860:5
111328215:5,111328215:5
111497804:5,111497804:5
111503241:5,111503241:5
111640254:5,10006363:5
111712751:5,10006363:5
111740300:5,111740300:5
111750255:5,60402375:5
111750260:5,10085033:5
111803327:5,111803327:5
111874100:5,60402375:5
111938451:5,77017484:5
111952617:5,60402301:5
111952618:5,60402301:5
112000238:5,112000238:5
112001982:5,60402301:5
112149963:5,112149963:5
112286994:5,112286994:5
112288822:5,112288822:5
112288823:5,112288823:5
112288825:5,112288825:5
112462685:5,112462685:5
112504067:5,112462685:5
112510438:5,52572805:5
112510439:5,53578252:5
112510441:5,53578249:5
112510442:5,66326973:5
112510443:5,60858926:5
112510444:5,10038731:5
112510445:5,63251844:5
112510446:5,52732454:5
112510447:5,10094734:5
112510448:5,54556139:5
112510449:5,53578250:5
112510450:5,61018503:5
112510451:5,52175185:5
112521055:5,112521055:5
112609033:5,60402578:5
112609054:5,112609054:5
112609142:5,60402353:5
112609143:5,60402353:5
112609144:5,60402409:5
112609162:5,10085033:5
112609191:5,89582645:5
112644619:5,112644619:5
112646676:5,89582645:5
112646729:5,77386846:5
112799464:5,91258158:5
112799471:5,77386846:5
112799591:5,54644510:5
112799592:5,77386846:5
112799593:5,62296506:5
112799597:5,96409577:5
112799672:5,60402528:5
112800487:5,67482077:5
112800530:5,89582645:5
112870507:5,60402506:5
112870510:5,67482077:5
112981867:5,91258158:5
112981869:5,60402528:5
112981875:5,67482077:5
112981896:5,91258158:5
112995297:5,112995297:5
112995331:5,53710131:5
113014667:5,69867164:5
113014695:5,89582645:5
113025443:5,113025443:5
113025686:5,91258158:5
113069505:5,113069505:5
113070799:5,69867164:5
113092673:5,69867164:5
113105447:5,77386846:5
113114276:5,113114276:5
113115343:5,60467178:5
113123052:5,113123052:5
113180446:5,113180446:5
113203028:5,107302204:5
113250220:5,113250220:5
113262829:5,96587378:5
113262850:5,113262850:5
113264515:5,113264515:5
113408584:5,96409577:5
113450726:5,96587378:5
113458704:5,113458704:5
113499588:5,113499588:5
113550621:5,113550621:5
113575672:5,113575672:5
113577920:5,113577920:5
113639666:5,113639666:5
113678251:5,113678251:5
113686505:5,113686505:5
113701213:5,113701213:5
113706523:5,65790293:5
113706626:5,65790293:5
113750350:5,102253931:5
113751742:5,113751742:5
113801516:5,113801516:5
113811665:5,53710125:5
113812076:5,86798615:5
113812083:5,113811665:5
113812084:5,113811665:5
113812085:5,113811665:5
113812086:5,113811665:5
113816174:5,113816174:5
113816175:5,62039096:5
113816197:5,52448445:5
113816200:5,52448445:5
113816202:5,52172450:5
113816204:5,52172450:5
113919932:5,86526264:5
113921662:5,113921662:5
113943624:5,61018500:5
114000701:5,91162072:5
114000717:5,91162072:5
114000786:5,114000786:5
114019928:5,10094734:5
114019929:5,91162072:5
114019948:5,10094734:5
114020051:5,52174331:5
114028989:5,114028989:5
114030288:5,10094734:5
114110725:5,91162072:5
114115885:5,114115885:5
114124153:5,114124153:5
114140120:5,114140120:5
114140148:5,114140148:5
114140149:5,114140149:5
114141112:5,114141112:5
114147230:5,114147230:5
114247644:5,114247644:5
114249790:5,114249790:5
114251979:5,114251979:5
114253505:5,114253505:5
114261270:5,114261270:5
114261342:5,114261342:5
114261451:5,114261451:5
114262766:5,114262766:5
114262768:5,114262768:5
114286026:5,114286026:5
114287073:5,114287073:5
114348501:5,114348501:5
114413160:5,114413160:5
114421675:5,114421675:5
114421681:5,114421681:5
114426321:5,114426321:5
114451093:5,114451093:5
114487643:5,65499321:5
114494496:5,114494496:5
114494535:5,114494535:5
114494538:5,114494538:5
114543668:5,114543668:5
114551650:5,114551650:5
114563332:5,114563332:5
114563395:5,114563395:5
114587223:5,114587223:5
114587225:5,114587225:5
114684954:5,114684954:5
114709077:5,114709077:5
114709081:5,114709081:5
114710003:5,68668759:5
114760954:5,52000745:5
114761107:5,52001482:5
114770319:5,114770319:5
114770755:5,114770755:5
114770774:5,114770774:5
114784517:5,114784517:5
114788353:5,54542708:5
114789724:5,114789724:5
114792411:5,114792411:5
114804608:5,114804608:5
114808314:5,114808314:5
114852396:5,114852396:5
114916262:5,114916262:5
114926596:5,114926596:5
114927083:5,114927083:5
114927085:5,114927085:5
114927428:5,10085033:5
114972558:5,92259152:5
114972565:5,10074536:5
114973056:5,10085033:5
114973067:5,114973067:5
115006179:5,115006179:5
115006181:5,115006181:5
115023057:5,115023057:5
115024144:5,115024144:5
115038799:5,115038799:5
115085612:5,115085612:5
115086971:5,115086971:5
115086974:5,115086974:5
115086977:5,115086977:5
115086986:5,115086986:5
115116612:5,115116612:5
115125085:5,115125085:5
115127287:5,115127287:5
115127297:5,115127297:5
115147134:5,94012013:5
115147172:5,115147134:5
115147173:5,115147134:5
115147174:5,115147134:5
115147175:5,115147134:5
115148610:5,115148610:5
115156281:5,70582117:5
115156291:5,115156281:5
115156292:5,115156281:5
115156293:5,115156281:5
115156294:5,115156281:5
115156619:5,115156619:5
115156626:5,115156626:5
115159688:5,115159688:5
115274689:5,115274689:5
115276192:5,115276192:5
115361329:5,115361329:5
115361838:5,115361838:5
115361843:5,115361843:5
115367915:5,115367915:5
115380223:5,115380223:5
115390803:5,52053277:5
115390819:5,115390819:5
115391440:5,115391440:5
115441380:5,108816182:5
115441440:5,115390819:5
115451030:5,115451030:5
115475056:5,115475056:5
115478371:5,115478371:5
115481666:5,115481666:5
115481667:5,115481667:5
115481672:5,115481672:5
115492937:5,115492937:5
115492938:5,115492938:5
115500238:5,115500238:5
115500520:5,115500520:5
115502003:5,115502003:5
115547875:5,115547875:5
115553212:5,115553212:5
115569123:5,115569123:5
115635162:5,115635162:5
115687688:5,115687688:5
115688370:5,115688370:5
115714256:5,115714256:5
115715371:5,115715371:5
115722906:5,115722906:5
115727408:5,115727408:5
115727409:5,115727409:5
115740224:5,115740224:5
115751076:5,115751076:5
115799505:5,60402551:5
115799511:5,115799505:5
115799512:5,115799505:5
115799513:5,115799505:5
115800966:5,115800966:5
115800967:5,115800967:5
115802824:5,60402561:5
115802825:5,60402561:5
115802826:5,60402561:5
115802828:5,60402561:5
115802848:5,115802848:5
115824608:5,10068557:5
115845147:5,115845147:5
115853509:5,115853509:5
115862307:5,115862307:5
115912545:5,98050043:5
115980715:5,115980715:5
116002673:5,116002673:5
116003691:5,116003691:5
116089126:5,116089126:5
116089418:5,116089418:5
116091648:5,116091648:5
116091651:5,116091651:5
116137401:5,116137401:5
116137404:5,116137404:5
116148323:5,116148323:5
116148329:5,116148329:5
116207046:5,53782923:5
116210257:5,116210257:5
116222204:5,116222204:5
116223058:5,116223058:5
116278119:5,116278119:5
116278122:5,116278122:5
116279416:5,116279416:5
116286057:5,116286057:5
116302162:5,116302162:5
116302634:5,60402256:5
116334967:5,116334967:5
116335287:5,116335287:5
116335288:5,116335288:5
116335901:5,116335901:5
116335904:5,116335904:5
116345588:5,116345588:5
116345612:5,116345612:5
116345706:5,116345706:5
116394122:5,81363379:5
116394128:5,116394128:5
116395407:5,116395407:5
116395441:5,104707085:5
116481047:5,116481047:5
116481049:5,116481049:5
116484009:5,116484009:5
116484010:5,116484010:5
116506076:5,116506076:5
116508148:5,116508148:5
116513960:5,116513960:5
116513961:5,116513961:5
116517387:5,116517387:5
116517415:5,116517415:5
116650958:5,96984146:5
116678133:5,116678133:5
116705617:5,116705617:5
116724725:5,116724725:5
116756781:5,116756781:5
116763970:5,116763970:5
116768823:5,116768823:5
116769176:5,116769176:5
116823646:5,116823646:5
116825414:5,116825414:5
116826302:5,111037540:5
116826326:5,111037540:5
116882595:5,60402361:5
116891251:5,116891251:5
116900193:5,116900193:5
116900194:5,116900194:5
116904751:5,116904751:5
116905334:5,116905334:5
116905340:5,60402361:5
116907292:5,116907292:5
116907293:5,79814391:5
116907779:5,76146333:5
116957201:5,116957201:5
116957202:5,116957202:5
116958862:5,116958862:5
116998899:5,116998899:5
116998912:5,116998912:5
117006096:5,117006096:5
117006097:5,117006097:5
117006098:5,117006098:5
117015329:5,117015329:5
117015331:5,117015331:5
117016769:5,117016769:5
117017373:5,62517508:5
117062878:5,117062878:5
117116785:5,117116785:5
117124887:5,117124887:5
117126185:5,117126185:5
117133141:5,117133141:5
117136594:5,117136594:5
117244723:5,117244723:5
117265954:5,117265954:5
117266498:5,117266498:5
117289942:5,117289942:5
117348802:5,117348802:5
117351081:5,117351081:5
117351344:5,117351344:5
117360934:5,117360934:5
117362478:5,117362478:5
117408241:5,117408241:5
117410772:5,117410772:5
117410853:5,117410853:5
117433958:5,117433958:5
117440720:5,117440720:5
117440721:5,117440721:5
117442571:5,53677845:5
117449029:5,117449029:5
117456639:5,117456639:5
117458053:5,117458053:5
117532919:5,117532919:5
117532921:5,117532921:5
117532929:5,117532929:5
117550377:5,117550377:5
117581567:5,117581567:5
117581568:5,117581568:5
117619337:5,117619337:5
117675947:5,117675947:5
117704581:5,117704581:5
117755054:5,117755054:5
117778501:5,117778501:5
117835385:5,117835385:5
117835390:5,117835390:5
117837834:5,117837834:5
117837955:5,10006209:5
117838476:5,67169842:5
117862007:5,117862007:5
117862011:5,117862011:5
117862013:5,117862013:5
117863484:5,117863484:5
117879778:5,117879778:5
117879779:5,117879779:5
117880912:5,117880912:5
117894612:5,117894612:5
117894753:5,60769280:5
117901304:5,117901304:5
117907785:5,117907785:5
117915506:5,117915506:5
118024071:5,118024071:5
118024072:5,118024072:5
118024075:5,118024075:5
118024076:5,118024076:5
118024079:5,118024079:5
118024085:5,118024085:5
118024086:5,118024086:5
118027360:5,118027360:5
118027374:5,118027360:5
