id,spn,grouping_id
10068673:5,10068673,5
10068675:5,10068675,5
10068678:5,10068678,5
10068681:5,10068681,5
10068684:5,10068684,5
10068698:5,10068698,5
10068700:5,10068700,5
10068715:5,10068715,5
54276089:5,54276089,5
10068717:5,10068717,5
10068718:5,10068718,5
10068719:5,10068719,5
10068721:5,10068721,5
10068722:5,10068722,5
10068723:5,10068723,5
10068727:5,10068727,5
10068729:5,10068729,5
10068734:5,10068734,5
10068735:5,10068735,5
10068741:5,10068741,5
10068742:5,10068742,5
10068747:5,10068747,5
10068755:5,10068755,5
10068761:5,10068761,5
10068763:5,10068763,5
10068765:5,10068765,5
10068783:5,10068783,5
10068796:5,10068796,5
10068797:5,10068797,5
10068800:5,10068800,5
10068804:5,10068804,5
10068807:5,10068807,5
10068808:5,10068808,5
10068811:5,10068811,5
10068813:5,10068813,5
10068830:5,10068830,5
10068835:5,10068835,5
10068840:5,10068840,5
10068842:5,10068842,5
10068845:5,10068845,5
10068847:5,10068847,5
10068856:5,10068856,5
10068858:5,10068858,5
10068866:5,10068866,5
10068867:5,10068867,5
10068870:5,10068870,5
10068871:5,10068871,5
10068881:5,10068881,5
10068887:5,10068887,5
10068888:5,10068888,5
10068889:5,10068889,5
10068890:5,10068890,5
10068892:5,10068892,5
10068893:5,10068893,5
10068894:5,10068894,5
10068896:5,10068896,5
10068904:5,10068904,5
10068917:5,10068917,5
10068921:5,10068921,5
10068926:5,10068926,5
10068928:5,10068928,5
10068931:5,10068931,5
10068934:5,10068934,5
10068936:5,10068936,5
10068945:5,10068945,5
10068953:5,10068953,5
10068981:5,10068981,5
10068987:5,10068987,5
10068988:5,10068988,5
10068994:5,10068994,5
10068996:5,10068996,5
10068999:5,10068999,5
10069003:5,10069003,5
10069005:5,10069005,5
10069006:5,10069006,5
10069007:5,10069007,5
10069011:5,10069011,5
10069021:5,10069021,5
10069023:5,10069023,5
10069024:5,10069024,5
10069025:5,10069025,5
10069027:5,10069027,5
10069030:5,10069030,5
10069034:5,10069034,5
10069044:5,10069044,5
10069048:5,10069048,5
10069050:5,10069050,5
10069053:5,10069053,5
10069055:5,10069055,5
10069056:5,10069056,5
10069057:5,10069057,5
10069068:5,10069068,5
10069074:5,10069074,5
10069075:5,10069075,5
10069077:5,10069077,5
10069080:5,10069080,5
10069084:5,10069084,5
10069108:5,10069108,5
10069111:5,10069111,5
10069113:5,10069113,5
10069117:5,10069117,5
10069120:5,10069120,5
10069125:5,10069125,5
10069127:5,10069127,5
10069131:5,10069131,5
10069135:5,10069135,5
10069137:5,10069137,5
10069157:5,10069157,5
10069160:5,10069160,5
10069161:5,10069161,5
10069165:5,10069165,5
10069168:5,10069168,5
10069169:5,10069169,5
10069174:5,10069174,5
10069177:5,10069177,5
10069180:5,10069180,5
10069185:5,10069185,5
10069194:5,10069194,5
10069198:5,10069198,5
10069200:5,10069200,5
10069203:5,10069203,5
10069204:5,10069204,5
10069205:5,10069205,5
10069216:5,10069216,5
10069221:5,10069221,5
10069222:5,10069222,5
10069224:5,10069224,5
10069232:5,10069232,5
10069233:5,10069233,5
10069234:5,10069234,5
10069239:5,10069239,5
10069244:5,10069244,5
10069249:5,10069249,5
10069250:5,10069250,5
10069257:5,10069257,5
10069259:5,10069259,5
10069264:5,10069264,5
10069273:5,10069273,5
10069284:5,10069284,5
10069286:5,10069286,5
10069291:5,10069291,5
10069294:5,10069294,5
10069295:5,10069295,5
10069300:5,10069300,5
10069303:5,10069303,5
10069315:5,10069315,5
10069321:5,10069321,5
10069322:5,10069322,5
10069323:5,10069323,5
10069326:5,10069326,5
10069335:5,10069335,5
10069339:5,10069339,5
10069342:5,10069342,5
10069345:5,10069345,5
10069346:5,10069346,5
10069347:5,10069347,5
10069348:5,10069348,5
10069355:5,10069355,5
10069357:5,10069357,5
10069359:5,10069359,5
10069360:5,10069360,5
10069365:5,10069365,5
10069370:5,10069370,5
10069373:5,10069373,5
10069388:5,10069388,5
10069390:5,10069390,5
10069392:5,10069392,5
10069394:5,10069394,5
10069395:5,10069395,5
10069400:5,10069400,5
10069401:5,10069401,5
10069410:5,10069410,5
10069418:5,10069418,5
10069420:5,10069420,5
10069928:5,10069928,5
10069424:5,10069424,5
10069425:5,10069425,5
10069426:5,10069426,5
10069428:5,10069428,5
10069429:5,10069429,5
10069433:5,10069433,5
10069434:5,10069434,5
10069449:5,10069449,5
10069455:5,10069455,5
10069456:5,10069456,5
10069458:5,10069458,5
10069459:5,10069459,5
10069463:5,10069463,5
10069488:5,10069488,5
10069491:5,10069491,5
10069499:5,10069499,5
10069502:5,10069502,5
10069503:5,10069503,5
10069508:5,10069508,5
10069511:5,10069511,5
10069518:5,10069518,5
10069525:5,10069525,5
10077495:5,10077495,5
10069530:5,10069530,5
10069533:5,10069533,5
10069535:5,10069535,5
10069537:5,10069537,5
10069541:5,10069541,5
10069545:5,10069545,5
10069555:5,10069555,5
10069558:5,10069558,5
10069560:5,10069560,5
10069566:5,10069566,5
10069571:5,10069571,5
10069575:5,10069575,5
10069578:5,10069578,5
10069580:5,10069580,5
10069584:5,10069584,5
10069588:5,10069588,5
10069592:5,10069592,5
10069593:5,10069593,5
10069594:5,10069594,5
10069599:5,10069599,5
10069603:5,10069603,5
10069604:5,10069604,5
10069605:5,10069605,5
10069606:5,10069606,5
10069608:5,10069608,5
10069609:5,10069609,5
10069621:5,10069621,5
10069623:5,10069623,5
10069624:5,10069624,5
10069630:5,10069630,5
10069632:5,10069632,5
10069634:5,10069634,5
10069636:5,10069636,5
10069641:5,10069641,5
10069652:5,10069652,5
10069665:5,10069665,5
10069666:5,10069666,5
10069669:5,10069669,5
10069675:5,10069675,5
10069683:5,10069683,5
10069689:5,10069689,5
10069697:5,10069697,5
10069699:5,10069699,5
10069700:5,10069700,5
10069703:5,10069703,5
10069707:5,10069707,5
10069710:5,10069710,5
10069712:5,10069712,5
10069719:5,10069719,5
10069720:5,10069720,5
10076315:5,10076315,5
10069722:5,10069722,5
10069723:5,10069723,5
10069727:5,10069727,5
10069729:5,10069729,5
10069731:5,10069731,5
10069742:5,10069742,5
10069747:5,10069747,5
10069754:5,10069754,5
10069759:5,10069759,5
10069762:5,10069762,5
10069763:5,10069763,5
10069764:5,10069764,5
10069765:5,10069765,5
10069777:5,10069777,5
10069780:5,10069780,5
10069781:5,10069781,5
10069786:5,10069786,5
10069787:5,10069787,5
10069801:5,10069801,5
10069802:5,10069802,5
10069810:5,10069810,5
10069811:5,10069811,5
10069815:5,10069815,5
10069835:5,10069835,5
10069836:5,10069836,5
10069837:5,10069837,5
10069842:5,10069842,5
10069846:5,10069846,5
10069853:5,10069853,5
10096801:5,10096801,5
10069854:5,10069854,5
10069860:5,10069860,5
10069874:5,10069874,5
10069875:5,10069875,5
10069887:5,10069887,5
10069889:5,10069889,5
10069898:5,10069898,5
10069901:5,10069901,5
10069903:5,10069903,5
10069904:5,10069904,5
10069905:5,10069905,5
10069906:5,10069906,5
10069919:5,10069919,5
10069924:5,10069924,5
10069930:5,10069930,5
10069932:5,10069932,5
10069942:5,10069942,5
10069943:5,10069943,5
10069947:5,10069947,5
10069949:5,10069949,5
10069950:5,10069950,5
10069957:5,10069957,5
10069964:5,10069964,5
10069972:5,10069972,5
10069975:5,10069975,5
10069980:5,10069980,5
10069981:5,10069981,5
10069985:5,10069985,5
10069991:5,10069991,5
10069997:5,10069997,5
10069998:5,10069998,5
10069999:5,10069999,5
10070004:5,10070004,5
10070005:5,10070005,5
10070007:5,10070007,5
10086757:5,10086757,5
10070009:5,10070009,5
10070011:5,10070011,5
10070016:5,10070016,5
10070017:5,10070017,5
10070028:5,10070028,5
10070050:5,10070050,5
10070052:5,10070052,5
10070069:5,10070069,5
10070070:5,10070070,5
10070076:5,10070076,5
10070077:5,10070077,5
10070085:5,10070085,5
10070092:5,10070092,5
10070095:5,10070095,5
10070097:5,10070097,5
10070117:5,10070117,5
10070122:5,10070122,5
10070125:5,10070125,5
10070127:5,10070127,5
10070129:5,10070129,5
10070130:5,10070130,5
10070133:5,10070133,5
10070138:5,10070138,5
10070139:5,10070139,5
10070148:5,10070148,5
10070149:5,10070149,5
10070155:5,10070155,5
10070161:5,10070161,5
10070166:5,10070166,5
10070168:5,10070168,5
10070170:5,10070170,5
10070171:5,10070171,5
10070172:5,10070172,5
10070178:5,10070178,5
10070179:5,10070179,5
10070181:5,10070181,5
10070183:5,10070183,5
10070186:5,10070186,5
10070190:5,10070190,5
10070192:5,10070192,5
10070197:5,10070197,5
10070200:5,10070200,5
10070202:5,10070202,5
10070209:5,10070209,5
52190000:5,52190000,5
10070217:5,10070217,5
10070221:5,10070221,5
10070225:5,10070225,5
10070226:5,10070226,5
10070228:5,10070228,5
10070229:5,10070229,5
10070288:5,10070288,5
10070292:5,10070292,5
10070293:5,10070293,5
10070294:5,10070294,5
10070296:5,10070296,5
10070303:5,10070303,5
10070312:5,10070312,5
10070321:5,10070321,5
10070322:5,10070322,5
10070336:5,10070336,5
10070337:5,10070337,5
10070339:5,10070339,5
10070340:5,10070340,5
10070341:5,10070341,5
10070346:5,10070346,5
10070347:5,10070347,5
10070349:5,10070349,5
10070350:5,10070350,5
10070356:5,10070356,5
10070357:5,10070357,5
10070358:5,10070358,5
10070365:5,10070365,5
10070367:5,10070367,5
10070372:5,10070372,5
10070379:5,10070379,5
10070385:5,10070385,5
10070400:5,10070400,5
10070406:5,10070406,5
10070415:5,10070415,5
10070418:5,10070418,5
10070420:5,10070420,5
10070422:5,10070422,5
10070423:5,10070423,5
10070426:5,10070426,5
10070429:5,10070429,5
10070433:5,10070433,5
10070436:5,10070436,5
10070439:5,10070439,5
10070444:5,10070444,5
10070449:5,10070449,5
10070456:5,10070456,5
10070458:5,10070458,5
10070464:5,10070464,5
10070465:5,10070465,5
10070467:5,10070467,5
10070469:5,10070469,5
10070476:5,10070476,5
10070478:5,10070478,5
10070489:5,10070489,5
10070490:5,10070490,5
10070494:5,10070494,5
10070500:5,10070500,5
10070507:5,10070507,5
10070519:5,10070519,5
10070521:5,10070521,5
10070530:5,10070530,5
10070532:5,10070532,5
10070541:5,10070541,5
10070544:5,10070544,5
10070547:5,10070547,5
10070562:5,10070562,5
10070570:5,10070570,5
10070575:5,10070575,5
10070577:5,10070577,5
10070582:5,10070582,5
10070586:5,10070586,5
10070587:5,10070587,5
10070589:5,10070589,5
55236589:5,55236589,5
10070590:5,10070590,5
10070594:5,10070594,5
10070600:5,10070600,5
10070605:5,10070605,5
10070606:5,10070606,5
10070610:5,10070610,5
10070632:5,10070632,5
10070638:5,10070638,5
10070641:5,10070641,5
10070642:5,10070642,5
10070646:5,10070646,5
10070648:5,10070648,5
10070651:5,10070651,5
10070653:5,10070653,5
10070661:5,10070661,5
10070662:5,10070662,5
10070668:5,10070668,5
10070669:5,10070669,5
10070670:5,10070670,5
10070673:5,10070673,5
10070677:5,10070677,5
10070680:5,10070680,5
10070684:5,10070684,5
10070687:5,10070687,5
10070690:5,10070690,5
10070691:5,10070691,5
10070695:5,10070695,5
10070702:5,10070702,5
10070710:5,10070710,5
10070723:5,10070723,5
10070724:5,10070724,5
10070727:5,10070727,5
10070728:5,10070728,5
10087153:5,10087153,5
10070729:5,10070729,5
10070731:5,10070731,5
10070738:5,10070738,5
10070741:5,10070741,5
10070743:5,10070743,5
10070744:5,10070744,5
10070746:5,10070746,5
10070747:5,10070747,5
10070748:5,10070748,5
10070750:5,10070750,5
10070756:5,10070756,5
10070758:5,10070758,5
10070759:5,10070759,5
10070760:5,10070760,5
10070793:5,10070793,5
10070795:5,10070795,5
10070797:5,10070797,5
10070809:5,10070809,5
10070811:5,10070811,5
10070812:5,10070812,5
10070826:5,10070826,5
10070831:5,10070831,5
10070836:5,10070836,5
10070838:5,10070838,5
10070841:5,10070841,5
10070845:5,10070845,5
10070856:5,10070856,5
10070878:5,10070878,5
10070879:5,10070879,5
10070883:5,10070883,5
10070885:5,10070885,5
70019315:5,70019315,5
10070889:5,10070889,5
10070891:5,10070891,5
10070904:5,10070904,5
10070906:5,10070906,5
10070915:5,10070915,5
10070919:5,10070919,5
10070922:5,10070922,5
10070928:5,10070928,5
10070932:5,10070932,5
10070940:5,10070940,5
10070941:5,10070941,5
10070948:5,10070948,5
10070950:5,10070950,5
10070959:5,10070959,5
10070973:5,10070973,5
10070974:5,10070974,5
10070975:5,10070975,5
10070981:5,10070981,5
10070982:5,10070982,5
10070986:5,10070986,5
10070992:5,10070992,5
10070997:5,10070997,5
10071000:5,10071000,5
10071005:5,10071005,5
10071006:5,10071006,5
10071010:5,10071010,5
10071011:5,10071011,5
110055149:5,110055149,5
10071013:5,10071013,5
10071015:5,10071015,5
10071019:5,10071019,5
10071021:5,10071021,5
10071028:5,10071028,5
10071029:5,10071029,5
10071030:5,10071030,5
10071039:5,10071039,5
10071051:5,10071051,5
10071056:5,10071056,5
10071062:5,10071062,5
10071063:5,10071063,5
10071069:5,10071069,5
10071075:5,10071075,5
10071080:5,10071080,5
10071101:5,10071101,5
10071102:5,10071102,5
10071105:5,10071105,5
10071116:5,10071116,5
10071118:5,10071118,5
10071122:5,10071122,5
10071135:5,10071135,5
10071137:5,10071137,5
10071138:5,10071138,5
10071139:5,10071139,5
10071143:5,10071143,5
10071146:5,10071146,5
10071148:5,10071148,5
10071149:5,10071149,5
10071151:5,10071151,5
10071152:5,10071152,5
10071154:5,10071154,5
10071156:5,10071156,5
10071159:5,10071159,5
10071161:5,10071161,5
10071164:5,10071164,5
10071166:5,10071166,5
10071169:5,10071169,5
10071172:5,10071172,5
10071174:5,10071174,5
10071176:5,10071176,5
10071189:5,10071189,5
10071199:5,10071199,5
10071200:5,10071200,5
10071202:5,10071202,5
10071207:5,10071207,5
10071213:5,10071213,5
10071214:5,10071214,5
10071216:5,10071216,5
10071217:5,10071217,5
10071221:5,10071221,5
10071223:5,10071223,5
10071224:5,10071224,5
10071226:5,10071226,5
10071228:5,10071228,5
10071253:5,10071253,5
10071288:5,10071288,5
10071293:5,10071293,5
10071294:5,10071294,5
10071305:5,10071305,5
10071307:5,10071307,5
10071314:5,10071314,5
10071317:5,10071317,5
10071318:5,10071318,5
10071337:5,10071337,5
10071339:5,10071339,5
10071342:5,10071342,5
10071354:5,10071354,5
10071362:5,10071362,5
10071377:5,10071377,5
10071380:5,10071380,5
10071383:5,10071383,5
10071385:5,10071385,5
10071386:5,10071386,5
10071395:5,10071395,5
10071404:5,10071404,5
10071406:5,10071406,5
10071418:5,10071418,5
10071419:5,10071419,5
10071422:5,10071422,5
10071432:5,10071432,5
10071437:5,10071437,5
10071455:5,10071455,5
10071458:5,10071458,5
10071461:5,10071461,5
10071483:5,10071483,5
10071484:5,10071484,5
10071493:5,10071493,5
10071496:5,10071496,5
10071499:5,10071499,5
10071501:5,10071501,5
10071502:5,10071502,5
10071507:5,10071507,5
10071519:5,10071519,5
10071526:5,10071526,5
10071527:5,10071527,5
10071531:5,10071531,5
10076750:5,10076750,5
10071550:5,10071550,5
10071552:5,10071552,5
10071553:5,10071553,5
10071555:5,10071555,5
10071562:5,10071562,5
10071572:5,10071572,5
10071573:5,10071573,5
10071574:5,10071574,5
10071576:5,10071576,5
10071577:5,10071577,5
10071580:5,10071580,5
10071581:5,10071581,5
10071582:5,10071582,5
10071585:5,10071585,5
10071589:5,10071589,5
10071590:5,10071590,5
10071591:5,10071591,5
10071593:5,10071593,5
10071602:5,10071602,5
10071606:5,10071606,5
10071607:5,10071607,5
10071610:5,10071610,5
10071627:5,10071627,5
10071628:5,10071628,5
10071636:5,10071636,5
10071637:5,10071637,5
10071658:5,10071658,5
10071687:5,10071687,5
10071688:5,10071688,5
10071694:5,10071694,5
10071707:5,10071707,5
10071709:5,10071709,5
10071716:5,10071716,5
10071719:5,10071719,5
10071721:5,10071721,5
10071722:5,10071722,5
10071726:5,10071726,5
10071727:5,10071727,5
10071728:5,10071728,5
10071729:5,10071729,5
10071732:5,10071732,5
10071742:5,10071742,5
10071743:5,10071743,5
10071746:5,10071746,5
10071753:5,10071753,5
10071759:5,10071759,5
10071761:5,10071761,5
10071772:5,10071772,5
10071773:5,10071773,5
10071776:5,10071776,5
10071779:5,10071779,5
10071793:5,10071793,5
10071794:5,10071794,5
10071798:5,10071798,5
10071799:5,10071799,5
10071805:5,10071805,5
10071809:5,10071809,5
10071814:5,10071814,5
10071815:5,10071815,5
10071821:5,10071821,5
10071827:5,10071827,5
10071832:5,10071832,5
10071833:5,10071833,5
10071834:5,10071834,5
10071835:5,10071835,5
10071841:5,10071841,5
10071851:5,10071851,5
10071854:5,10071854,5
10071855:5,10071855,5
10071856:5,10071856,5
10071857:5,10071857,5
10071858:5,10071858,5
10071859:5,10071859,5
10071863:5,10071863,5
10071865:5,10071865,5
10071867:5,10071867,5
10071891:5,10071891,5
10071898:5,10071898,5
10071903:5,10071903,5
10071908:5,10071908,5
10071909:5,10071909,5
10071916:5,10071916,5
10071917:5,10071917,5
10071922:5,10071922,5
10071926:5,10071926,5
10071929:5,10071929,5
10071938:5,10071938,5
10071959:5,10071959,5
10098860:5,10098860,5
10071967:5,10071967,5
10071968:5,10071968,5
10071979:5,10071979,5
10071981:5,10071981,5
10071983:5,10071983,5
10071985:5,10071985,5
10071989:5,10071989,5
10071992:5,10071992,5
10071995:5,10071995,5
10071998:5,10071998,5
10072005:5,10072005,5
10072008:5,10072008,5
10072009:5,10072009,5
10072024:5,10072024,5
10072029:5,10072029,5
10072032:5,10072032,5
10072035:5,10072035,5
10072041:5,10072041,5
10072043:5,10072043,5
10072051:5,10072051,5
10072054:5,10072054,5
10072070:5,10072070,5
10072090:5,10072090,5
10072096:5,10072096,5
10072108:5,10072108,5
10072124:5,10072124,5
10072131:5,10072131,5
10072143:5,10072143,5
10072146:5,10072146,5
10072152:5,10072152,5
10072154:5,10072154,5
10072157:5,10072157,5
10072161:5,10072161,5
10072172:5,10072172,5
10072173:5,10072173,5
10072174:5,10072174,5
10072175:5,10072175,5
10072177:5,10072177,5
10072179:5,10072179,5
10072180:5,10072180,5
10072188:5,10072188,5
10072189:5,10072189,5
10072190:5,10072190,5
10072191:5,10072191,5
10072194:5,10072194,5
10072203:5,10072203,5
10072205:5,10072205,5
10072206:5,10072206,5
10072208:5,10072208,5
10072212:5,10072212,5
10072213:5,10072213,5
10072217:5,10072217,5
10072219:5,10072219,5
10072225:5,10072225,5
10072226:5,10072226,5
10072228:5,10072228,5
10072241:5,10072241,5
10072243:5,10072243,5
10072244:5,10072244,5
10072245:5,10072245,5
10072252:5,10072252,5
10072259:5,10072259,5
10072262:5,10072262,5
10072264:5,10072264,5
10072267:5,10072267,5
10072273:5,10072273,5
10072277:5,10072277,5
10072281:5,10072281,5
10072283:5,10072283,5
10072286:5,10072286,5
10072289:5,10072289,5
10072293:5,10072293,5
10072294:5,10072294,5
10072296:5,10072296,5
10072303:5,10072303,5
10072310:5,10072310,5
10072311:5,10072311,5
10072314:5,10072314,5
10072315:5,10072315,5
10072319:5,10072319,5
10072320:5,10072320,5
10072332:5,10072332,5
10072333:5,10072333,5
10072336:5,10072336,5
10072340:5,10072340,5
10072354:5,10072354,5
10072357:5,10072357,5
10072360:5,10072360,5
10072367:5,10072367,5
10072394:5,10072394,5
10072401:5,10072401,5
10072406:5,10072406,5
10072407:5,10072407,5
10072412:5,10072412,5
10072418:5,10072418,5
10072427:5,10072427,5
10072429:5,10072429,5
10072437:5,10072437,5
10072439:5,10072439,5
10072442:5,10072442,5
10072455:5,10072455,5
10072457:5,10072457,5
10072461:5,10072461,5
10072463:5,10072463,5
10072465:5,10072465,5
10072467:5,10072467,5
10072470:5,10072470,5
10072472:5,10072472,5
10072473:5,10072473,5
10072484:5,10072484,5
10072485:5,10072485,5
10072486:5,10072486,5
10072487:5,10072487,5
